,yearstart,locationabbr,locationdesc,data_value,sample_size,education,income,race/ethnicity,locationid
3,2011,al,alabama,33.6,1153.0,0,,,1
4,2011,al,alabama,32.8,2402.0,1,,,1
5,2011,al,alabama,33.8,1925.0,2,,,1
6,2011,al,alabama,26.4,1812.0,3,,,1
31,2011,al,alabama,33.2,1153.0,0,,,1
32,2011,al,alabama,34.1,2402.0,1,,,1
33,2011,al,alabama,35.0,1925.0,2,,,1
34,2011,al,alabama,36.8,1812.0,3,,,1
59,2011,al,alabama,36.1,1844.0,3,,,1
65,2011,al,alabama,41.2,1912.0,2,,,1
75,2011,al,alabama,46.9,2356.0,1,,,1
79,2011,al,alabama,51.4,1105.0,0,,,1
87,2011,al,alabama,34.5,1073.0,0,,,1
88,2011,al,alabama,27.1,2322.0,1,,,1
89,2011,al,alabama,20.8,1899.0,2,,,1
90,2011,al,alabama,16.0,1826.0,3,,,1
108,2011,al,alabama,32.2,1869.0,3,,,1
116,2011,al,alabama,31.5,1118.0,0,,,1
117,2011,al,alabama,40.8,2326.0,1,,,1
118,2011,al,alabama,44.0,1921.0,2,,,1
119,2011,al,alabama,52.6,1813.0,3,,,1
123,2011,al,alabama,25.4,1950.0,2,,,1
146,2011,al,alabama,7.7,1111.0,0,,,1
147,2011,al,alabama,13.2,2307.0,1,,,1
148,2011,al,alabama,16.3,1905.0,2,,,1
149,2011,al,alabama,22.6,1810.0,3,,,1
174,2011,al,alabama,19.9,1111.0,0,,,1
175,2011,al,alabama,22.6,2307.0,1,,,1
176,2011,al,alabama,25.5,1916.0,2,,,1
177,2011,al,alabama,27.3,1805.0,3,,,1
204,2011,al,alabama,18.8,1165.0,0,,,1
205,2011,al,alabama,22.9,2417.0,1,,,1
228,2011,al,alabama,46.3,1174.0,0,,,1
229,2011,al,alabama,33.5,2440.0,1,,,1
230,2011,al,alabama,31.6,1967.0,2,,,1
231,2011,al,alabama,19.6,1874.0,3,,,1
257,2012,al,alabama,35.2,1180.0,0,,,1
258,2012,al,alabama,33.5,2772.0,1,,,1
259,2012,al,alabama,34.4,2405.0,2,,,1
260,2012,al,alabama,27.8,2285.0,3,,,1
285,2012,al,alabama,30.3,1180.0,0,,,1
286,2012,al,alabama,34.5,2772.0,1,,,1
287,2012,al,alabama,35.6,2405.0,2,,,1
288,2012,al,alabama,38.1,2285.0,3,,,1
315,2012,al,alabama,43.0,1248.0,0,,,1
316,2012,al,alabama,30.9,2887.0,1,,,1
317,2012,al,alabama,21.3,2493.0,2,,,1
318,2012,al,alabama,16.2,2368.0,3,,,1
343,2013,al,alabama,33.8,766.0,0,,,1
344,2013,al,alabama,32.1,1994.0,1,,,1
345,2013,al,alabama,35.2,1813.0,2,,,1
346,2013,al,alabama,27.6,1658.0,3,,,1
372,2013,al,alabama,35.3,766.0,0,,,1
373,2013,al,alabama,36.1,1994.0,1,,,1
374,2013,al,alabama,33.6,1813.0,2,,,1
375,2013,al,alabama,38.9,1658.0,3,,,1
398,2013,al,alabama,49.5,1878.0,1,,,1
399,2013,al,alabama,44.2,1731.0,2,,,1
400,2013,al,alabama,39.5,1653.0,3,,,1
424,2013,al,alabama,51.0,700.0,0,,,1
431,2013,al,alabama,29.9,1853.0,1,,,1
434,2013,al,alabama,21.4,1719.0,2,,,1
436,2013,al,alabama,38.2,665.0,0,,,1
452,2013,al,alabama,16.6,1623.0,3,,,1
477,2013,al,alabama,25.1,1766.0,2,,,1
483,2013,al,alabama,34.2,699.0,0,,,1
484,2013,al,alabama,39.9,1874.0,1,,,1
485,2013,al,alabama,49.0,1724.0,2,,,1
490,2013,al,alabama,8.9,694.0,0,,,1
491,2013,al,alabama,12.5,1843.0,1,,,1
492,2013,al,alabama,17.4,1704.0,2,,,1
493,2013,al,alabama,24.4,1595.0,3,,,1
539,2013,al,alabama,19.6,695.0,0,,,1
540,2013,al,alabama,25.2,1864.0,1,,,1
541,2013,al,alabama,28.3,1714.0,2,,,1
542,2013,al,alabama,35.1,1594.0,3,,,1
547,2013,al,alabama,19.1,731.0,0,,,1
548,2013,al,alabama,21.3,1928.0,1,,,1
549,2013,al,alabama,34.6,1646.0,3,,,1
593,2013,al,alabama,42.1,736.0,0,,,1
594,2013,al,alabama,36.5,1962.0,1,,,1
595,2013,al,alabama,29.7,1789.0,2,,,1
596,2013,al,alabama,18.4,1664.0,3,,,1
601,2014,al,alabama,34.8,995.0,0,,,1
602,2014,al,alabama,35.4,2622.0,1,,,1
603,2014,al,alabama,34.4,2333.0,2,,,1
604,2014,al,alabama,28.1,2231.0,3,,,1
631,2014,al,alabama,29.9,995.0,0,,,1
632,2014,al,alabama,32.7,2622.0,1,,,1
633,2014,al,alabama,33.5,2333.0,2,,,1
634,2014,al,alabama,37.6,2231.0,3,,,1
656,2014,al,alabama,40.9,1061.0,0,,,1
657,2014,al,alabama,32.7,2751.0,1,,,1
658,2014,al,alabama,23.5,2469.0,2,,,1
659,2014,al,alabama,14.8,2322.0,3,,,1
684,2011,ak,alaska,28.8,245.0,0,,,2
685,2011,ak,alaska,33.1,981.0,1,,,2
686,2011,ak,alaska,25.8,954.0,2,,,2
687,2011,ak,alaska,22.1,1150.0,3,,,2
711,2011,ak,alaska,35.3,245.0,0,,,2
712,2011,ak,alaska,38.0,981.0,1,,,2
713,2011,ak,alaska,40.1,954.0,2,,,2
714,2011,ak,alaska,39.9,1150.0,3,,,2
739,2011,ak,alaska,28.9,1149.0,3,,,2
748,2011,ak,alaska,37.3,941.0,2,,,2
752,2011,ak,alaska,43.3,219.0,0,,,2
759,2011,ak,alaska,47.5,915.0,1,,,2
768,2011,ak,alaska,27.5,217.0,0,,,2
769,2011,ak,alaska,25.4,931.0,1,,,2
770,2011,ak,alaska,17.7,947.0,2,,,2
771,2011,ak,alaska,12.8,1131.0,3,,,2
798,2011,ak,alaska,53.1,219.0,0,,,2
799,2011,ak,alaska,49.9,923.0,1,,,2
828,2011,ak,alaska,20.7,210.0,0,,,2
830,2011,ak,alaska,17.4,904.0,1,,,2
831,2011,ak,alaska,26.0,923.0,2,,,2
832,2011,ak,alaska,33.8,1122.0,3,,,2
860,2011,ak,alaska,39.5,216.0,0,,,2
861,2011,ak,alaska,30.1,910.0,1,,,2
862,2011,ak,alaska,39.3,927.0,2,,,2
863,2011,ak,alaska,43.3,1125.0,3,,,2
885,2011,ak,alaska,25.9,947.0,1,,,2
887,2011,ak,alaska,36.0,956.0,2,,,2
888,2011,ak,alaska,41.8,1151.0,3,,,2
907,2011,ak,alaska,28.8,232.0,0,,,2
912,2011,ak,alaska,33.2,241.0,0,,,2
913,2011,ak,alaska,26.9,964.0,1,,,2
914,2011,ak,alaska,21.2,974.0,2,,,2
915,2011,ak,alaska,12.5,1160.0,3,,,2
939,2012,ak,alaska,23.3,287.0,0,,,2
940,2012,ak,alaska,25.8,1175.0,1,,,2
941,2012,ak,alaska,26.9,1250.0,2,,,2
942,2012,ak,alaska,24.9,1376.0,3,,,2
963,2012,ak,alaska,35.1,287.0,0,,,2
964,2012,ak,alaska,41.1,1175.0,1,,,2
965,2012,ak,alaska,40.4,1250.0,2,,,2
966,2012,ak,alaska,36.2,1376.0,3,,,2
992,2012,ak,alaska,30.0,300.0,0,,,2
993,2012,ak,alaska,26.0,1247.0,1,,,2
994,2012,ak,alaska,14.4,1318.0,2,,,2
995,2012,ak,alaska,10.9,1459.0,3,,,2
1021,2013,ak,alaska,28.2,260.0,0,,,2
1022,2013,ak,alaska,33.1,1272.0,1,,,2
1023,2013,ak,alaska,29.6,1286.0,2,,,2
1024,2013,ak,alaska,21.2,1571.0,3,,,2
1049,2013,ak,alaska,39.1,260.0,0,,,2
1050,2013,ak,alaska,35.5,1272.0,1,,,2
1051,2013,ak,alaska,38.3,1286.0,2,,,2
1052,2013,ak,alaska,38.8,1571.0,3,,,2
1075,2013,ak,alaska,26.1,1563.0,3,,,2
1099,2013,ak,alaska,48.3,1183.0,1,,,2
1100,2013,ak,alaska,38.1,1257.0,2,,,2
1111,2013,ak,alaska,18.5,1241.0,2,,,2
1112,2013,ak,alaska,7.5,1543.0,3,,,2
1120,2013,ak,alaska,27.4,1166.0,1,,,2
1130,2013,ak,alaska,28.4,240.0,0,,,2
1136,2013,ak,alaska,43.7,227.0,0,,,2
1147,2013,ak,alaska,50.8,1152.0,1,,,2
1148,2013,ak,alaska,53.2,1217.0,2,,,2
1163,2013,ak,alaska,16.6,224.0,0,,,2
1164,2013,ak,alaska,19.6,1129.0,1,,,2
1165,2013,ak,alaska,25.9,1202.0,2,,,2
1166,2013,ak,alaska,33.1,1517.0,3,,,2
1192,2013,ak,alaska,30.2,227.0,0,,,2
1193,2013,ak,alaska,33.8,1145.0,1,,,2
1194,2013,ak,alaska,34.5,1212.0,2,,,2
1195,2013,ak,alaska,44.8,1513.0,3,,,2
1216,2013,ak,alaska,36.9,1245.0,2,,,2
1217,2013,ak,alaska,42.5,1557.0,3,,,2
1238,2013,ak,alaska,30.4,1159.0,1,,,2
1239,2013,ak,alaska,31.2,238.0,0,,,2
1250,2013,ak,alaska,34.9,245.0,0,,,2
1251,2013,ak,alaska,26.9,1190.0,1,,,2
1252,2013,ak,alaska,22.6,1266.0,2,,,2
1253,2013,ak,alaska,11.9,1566.0,3,,,2
1272,2014,ak,alaska,32.8,218.0,0,,,2
1273,2014,ak,alaska,28.3,1060.0,1,,,2
1274,2014,ak,alaska,34.0,1217.0,2,,,2
1275,2014,ak,alaska,23.4,1628.0,3,,,2
1300,2014,ak,alaska,36.3,218.0,0,,,2
1301,2014,ak,alaska,34.8,1060.0,1,,,2
1302,2014,ak,alaska,34.4,1217.0,2,,,2
1303,2014,ak,alaska,36.4,1628.0,3,,,2
1328,2014,ak,alaska,34.4,231.0,0,,,2
1329,2014,ak,alaska,23.8,1113.0,1,,,2
1330,2014,ak,alaska,18.7,1288.0,2,,,2
1331,2014,ak,alaska,8.7,1704.0,3,,,2
1356,2011,az,arizona,36.2,536.0,0,,,4
1357,2011,az,arizona,25.2,1655.0,1,,,4
1358,2011,az,arizona,25.9,1898.0,2,,,4
1359,2011,az,arizona,17.4,2050.0,3,,,4
1383,2011,az,arizona,34.5,525.0,0,,,4
1384,2011,az,arizona,37.3,1622.0,1,,,4
1385,2011,az,arizona,39.5,1850.0,2,,,4
1386,2011,az,arizona,38.0,1974.0,3,,,4
1411,2011,az,arizona,27.6,2054.0,3,,,4
1420,2011,az,arizona,36.8,1866.0,2,,,4
1429,2011,az,arizona,44.1,1624.0,1,,,4
1432,2011,az,arizona,46.7,549.0,0,,,4
1440,2011,az,arizona,28.2,527.0,0,,,4
1441,2011,az,arizona,27.4,1602.0,1,,,4
1442,2011,az,arizona,18.1,1832.0,2,,,4
1443,2011,az,arizona,12.2,2033.0,3,,,4
1468,2011,az,arizona,35.7,529.0,0,,,4
1469,2011,az,arizona,47.5,1626.0,1,,,4
1498,2011,az,arizona,9.4,519.0,0,,,4
1499,2011,az,arizona,20.3,1600.0,1,,,4
1501,2011,az,arizona,26.3,1782.0,2,,,4
1502,2011,az,arizona,34.5,2003.0,3,,,4
1528,2011,az,arizona,22.1,525.0,0,,,4
1529,2011,az,arizona,31.7,1618.0,1,,,4
1530,2011,az,arizona,34.3,1798.0,2,,,4
1531,2011,az,arizona,39.7,2008.0,3,,,4
1554,2011,az,arizona,35.6,1836.0,2,,,4
1555,2011,az,arizona,42.3,2046.0,3,,,4
1575,2011,az,arizona,28.3,1648.0,1,,,4
1578,2011,az,arizona,17.3,546.0,0,,,4
1581,2011,az,arizona,36.2,558.0,0,,,4
1582,2011,az,arizona,26.9,1680.0,1,,,4
1583,2011,az,arizona,23.3,1881.0,2,,,4
1584,2011,az,arizona,14.3,2066.0,3,,,4
1608,2012,az,arizona,32.3,588.0,0,,,4
1609,2012,az,arizona,26.9,1793.0,1,,,4
1610,2012,az,arizona,25.3,2201.0,2,,,4
1611,2012,az,arizona,22.3,2350.0,3,,,4
1635,2012,az,arizona,38.0,588.0,0,,,4
1636,2012,az,arizona,35.6,1793.0,1,,,4
1637,2012,az,arizona,35.4,2201.0,2,,,4
1638,2012,az,arizona,36.4,2350.0,3,,,4
1664,2012,az,arizona,37.6,653.0,0,,,4
1665,2012,az,arizona,24.7,1862.0,1,,,4
1666,2012,az,arizona,20.4,2293.0,2,,,4
1667,2012,az,arizona,13.7,2447.0,3,,,4
1692,2013,az,arizona,42.5,349.0,0,,,4
1693,2013,az,arizona,27.3,1067.0,1,,,4
1694,2013,az,arizona,24.9,1234.0,2,,,4
1695,2013,az,arizona,19.2,1362.0,3,,,4
1721,2013,az,arizona,22.2,349.0,0,,,4
1722,2013,az,arizona,35.4,1067.0,1,,,4
1723,2013,az,arizona,37.1,1234.0,2,,,4
1724,2013,az,arizona,39.4,1362.0,3,,,4
1770,2013,az,arizona,39.1,1183.0,2,,,4
1771,2013,az,arizona,33.1,1323.0,3,,,4
1772,2013,az,arizona,41.9,337.0,0,,,4
1773,2013,az,arizona,44.6,1008.0,1,,,4
1786,2013,az,arizona,14.7,1310.0,3,,,4
1790,2013,az,arizona,24.0,1173.0,2,,,4
1794,2013,az,arizona,29.8,324.0,0,,,4
1801,2013,az,arizona,28.8,986.0,1,,,4
1806,2013,az,arizona,49.1,985.0,1,,,4
1808,2013,az,arizona,54.8,1155.0,2,,,4
1815,2013,az,arizona,38.4,329.0,0,,,4
1837,2013,az,arizona,17.5,325.0,0,,,4
1838,2013,az,arizona,17.6,972.0,1,,,4
1839,2013,az,arizona,22.9,1131.0,2,,,4
1841,2013,az,arizona,27.9,1284.0,3,,,4
1863,2013,az,arizona,34.7,981.0,1,,,4
1876,2013,az,arizona,20.4,328.0,0,,,4
1877,2013,az,arizona,33.5,1165.0,2,,,4
1878,2013,az,arizona,36.9,1142.0,2,,,4
1879,2013,az,arizona,37.2,1294.0,3,,,4
1892,2013,az,arizona,38.9,1315.0,3,,,4
1915,2013,az,arizona,22.1,341.0,0,,,4
1916,2013,az,arizona,24.9,994.0,1,,,4
1936,2013,az,arizona,44.4,347.0,0,,,4
1937,2013,az,arizona,28.6,1018.0,1,,,4
1938,2013,az,arizona,21.3,1199.0,2,,,4
1939,2013,az,arizona,14.8,1330.0,3,,,4
1947,2014,az,arizona,32.1,1004.0,0,,,4
1948,2014,az,arizona,29.8,3230.0,1,,,4
1950,2014,az,arizona,32.1,4149.0,2,,,4
1975,2014,az,arizona,36.1,1004.0,0,,,4
1976,2014,az,arizona,33.7,3230.0,1,,,4
1977,2014,az,arizona,33.3,4149.0,2,,,4
2003,2014,az,arizona,34.1,1126.0,0,,,4
2004,2014,az,arizona,24.2,3451.0,1,,,4
2005,2014,az,arizona,20.4,4407.0,2,,,4
2031,2011,ar,arkansas,31.1,628.0,0,,,5
2032,2011,ar,arkansas,33.0,1645.0,1,,,5
2033,2011,ar,arkansas,31.0,1070.0,2,,,5
2034,2011,ar,arkansas,26.4,1175.0,3,,,5
2059,2011,ar,arkansas,33.2,628.0,0,,,5
2060,2011,ar,arkansas,34.1,1645.0,1,,,5
2061,2011,ar,arkansas,34.4,1070.0,2,,,5
2062,2011,ar,arkansas,33.8,1175.0,3,,,5
2089,2011,ar,arkansas,40.7,1168.0,3,,,5
2091,2011,ar,arkansas,42.4,1056.0,2,,,5
2103,2011,ar,arkansas,51.3,1588.0,1,,,5
2108,2011,ar,arkansas,55.7,570.0,0,,,5
2115,2011,ar,arkansas,38.1,541.0,0,,,5
2116,2011,ar,arkansas,32.9,1542.0,1,,,5
2117,2011,ar,arkansas,25.2,1033.0,2,,,5
2118,2011,ar,arkansas,17.3,1160.0,3,,,5
2143,2011,ar,arkansas,34.9,558.0,0,,,5
2144,2011,ar,arkansas,43.9,1537.0,1,,,5
2145,2011,ar,arkansas,48.8,1008.0,2,,,5
2146,2011,ar,arkansas,54.2,1155.0,3,,,5
2173,2011,ar,arkansas,9.7,547.0,0,,,5
2174,2011,ar,arkansas,16.1,1518.0,1,,,5
2175,2011,ar,arkansas,18.0,1003.0,2,,,5
2176,2011,ar,arkansas,22.6,1142.0,3,,,5
2203,2011,ar,arkansas,24.5,554.0,0,,,5
2204,2011,ar,arkansas,27.5,1526.0,1,,,5
2205,2011,ar,arkansas,29.6,1000.0,2,,,5
2206,2011,ar,arkansas,29.0,1150.0,3,,,5
2228,2011,ar,arkansas,27.3,1050.0,2,,,5
2229,2011,ar,arkansas,33.5,1166.0,3,,,5
2248,2011,ar,arkansas,22.8,1589.0,1,,,5
2251,2011,ar,arkansas,14.9,582.0,0,,,5
2256,2011,ar,arkansas,41.3,595.0,0,,,5
2257,2011,ar,arkansas,34.6,1610.0,1,,,5
2258,2011,ar,arkansas,26.8,1052.0,2,,,5
2259,2011,ar,arkansas,20.1,1181.0,3,,,5
2283,2012,ar,arkansas,38.9,660.0,0,,,5
2284,2012,ar,arkansas,36.0,1775.0,1,,,5
2285,2012,ar,arkansas,32.7,1262.0,2,,,5
2286,2012,ar,arkansas,30.7,1235.0,3,,,5
2310,2012,ar,arkansas,31.6,660.0,0,,,5
2311,2012,ar,arkansas,32.2,1775.0,1,,,5
2312,2012,ar,arkansas,37.1,1262.0,2,,,5
2313,2012,ar,arkansas,35.7,1235.0,3,,,5
2339,2012,ar,arkansas,50.7,687.0,0,,,5
2340,2012,ar,arkansas,35.7,1859.0,1,,,5
2341,2012,ar,arkansas,24.5,1324.0,2,,,5
2342,2012,ar,arkansas,16.4,1289.0,3,,,5
2365,2013,ar,arkansas,39.6,599.0,0,,,5
2366,2013,ar,arkansas,36.0,1844.0,1,,,5
2367,2013,ar,arkansas,34.5,1246.0,2,,,5
2368,2013,ar,arkansas,27.2,1318.0,3,,,5
2392,2013,ar,arkansas,33.0,599.0,0,,,5
2393,2013,ar,arkansas,32.2,1844.0,1,,,5
2394,2013,ar,arkansas,37.2,1246.0,2,,,5
2395,2013,ar,arkansas,40.3,1318.0,3,,,5
2419,2013,ar,arkansas,55.2,549.0,0,,,5
2420,2013,ar,arkansas,52.5,1744.0,1,,,5
2421,2013,ar,arkansas,51.6,1189.0,2,,,5
2442,2013,ar,arkansas,41.0,1295.0,3,,,5
2448,2013,ar,arkansas,25.4,1166.0,2,,,5
2453,2013,ar,arkansas,17.2,1278.0,3,,,5
2454,2013,ar,arkansas,31.6,1682.0,1,,,5
2461,2013,ar,arkansas,37.3,530.0,0,,,5
2479,2013,ar,arkansas,32.6,542.0,0,,,5
2480,2013,ar,arkansas,37.6,1686.0,1,,,5
2481,2013,ar,arkansas,44.9,1159.0,2,,,5
2482,2013,ar,arkansas,49.9,1261.0,3,,,5
2508,2013,ar,arkansas,10.9,1658.0,1,,,5
2509,2013,ar,arkansas,17.5,1148.0,2,,,5
2510,2013,ar,arkansas,20.7,1245.0,3,,,5
2535,2013,ar,arkansas,19.8,539.0,0,,,5
2536,2013,ar,arkansas,24.2,1678.0,1,,,5
2537,2013,ar,arkansas,27.6,1155.0,2,,,5
2538,2013,ar,arkansas,30.2,1255.0,3,,,5
2561,2013,ar,arkansas,27.2,1181.0,2,,,5
2562,2013,ar,arkansas,29.5,1279.0,3,,,5
2583,2013,ar,arkansas,17.7,1736.0,1,,,5
2584,2013,ar,arkansas,14.9,560.0,0,,,5
2595,2013,ar,arkansas,45.2,579.0,0,,,5
2596,2013,ar,arkansas,40.3,1776.0,1,,,5
2597,2013,ar,arkansas,29.1,1196.0,2,,,5
2598,2013,ar,arkansas,22.1,1301.0,3,,,5
2619,2014,ar,arkansas,37.0,551.0,0,,,5
2620,2014,ar,arkansas,38.0,1730.0,1,,,5
2621,2014,ar,arkansas,37.4,1323.0,2,,,5
2622,2014,ar,arkansas,28.7,1270.0,3,,,5
2646,2014,ar,arkansas,29.4,551.0,0,,,5
2647,2014,ar,arkansas,34.0,1730.0,1,,,5
2648,2014,ar,arkansas,35.3,1323.0,2,,,5
2649,2014,ar,arkansas,39.3,1270.0,3,,,5
2675,2014,ar,arkansas,41.7,600.0,0,,,5
2677,2014,ar,arkansas,37.3,1857.0,1,,,5
2678,2014,ar,arkansas,25.3,1390.0,2,,,5
2679,2014,ar,arkansas,16.6,1347.0,3,,,5
2704,2011,ca,california,32.9,1870.0,0,,,6
2705,2011,ca,california,26.4,3146.0,1,,,6
2706,2011,ca,california,24.0,5375.0,2,,,6
2730,2011,ca,california,40.3,1870.0,0,,,6
2731,2011,ca,california,37.0,3146.0,1,,,6
2732,2011,ca,california,34.5,5375.0,2,,,6
2769,2011,ca,california,30.2,1784.0,0,,,6
2773,2011,ca,california,32.4,5173.0,2,,,6
2780,2011,ca,california,36.6,2973.0,1,,,6
2788,2011,ca,california,20.2,1739.0,0,,,6
2789,2011,ca,california,20.2,2928.0,1,,,6
2790,2011,ca,california,17.0,5108.0,2,,,6
2817,2011,ca,california,44.6,1867.0,0,,,6
2818,2011,ca,california,55.0,3056.0,1,,,6
2846,2011,ca,california,12.4,1852.0,0,,,6
2847,2011,ca,california,22.7,3032.0,1,,,6
2848,2011,ca,california,26.4,5190.0,2,,,6
2874,2011,ca,california,26.8,1864.0,0,,,6
2875,2011,ca,california,34.3,3047.0,1,,,6
2876,2011,ca,california,39.6,5207.0,2,,,6
2900,2011,ca,california,36.2,5227.0,2,,,6
2922,2011,ca,california,31.6,3059.0,1,,,6
2924,2011,ca,california,19.0,1871.0,0,,,6
2929,2011,ca,california,32.0,1893.0,0,,,6
2930,2011,ca,california,21.7,3093.0,1,,,6
2931,2011,ca,california,15.6,5278.0,2,,,6
2955,2012,ca,california,34.8,1578.0,0,,,6
2956,2012,ca,california,26.4,2568.0,1,,,6
2957,2012,ca,california,26.3,3620.0,2,,,6
2982,2012,ca,california,37.8,1578.0,0,,,6
2983,2012,ca,california,36.2,2568.0,1,,,6
2984,2012,ca,california,34.3,3620.0,2,,,6
3008,2012,ca,california,30.4,1598.0,0,,,6
3009,2012,ca,california,22.6,2535.0,1,,,6
3010,2012,ca,california,16.6,3576.0,2,,,6
3036,2013,ca,california,34.3,1258.0,0,,,6
3037,2013,ca,california,24.5,2142.0,1,,,6
3038,2013,ca,california,26.4,2872.0,2,,,6
3039,2013,ca,california,14.3,4382.0,3,,,6
3064,2013,ca,california,38.4,1258.0,0,,,6
3065,2013,ca,california,36.9,2142.0,1,,,6
3066,2013,ca,california,34.7,2872.0,2,,,6
3067,2013,ca,california,35.3,4382.0,3,,,6
3092,2013,ca,california,29.2,1200.0,0,,,6
3093,2013,ca,california,34.1,1896.0,1,,,6
3094,2013,ca,california,31.3,2568.0,2,,,6
3095,2013,ca,california,27.4,4065.0,3,,,6
3123,2013,ca,california,24.1,1875.0,1,,,6
3127,2013,ca,california,16.2,2553.0,2,,,6
3128,2013,ca,california,22.6,1178.0,0,,,6
3138,2013,ca,california,9.7,4030.0,3,,,6
3151,2013,ca,california,43.4,1255.0,0,,,6
3152,2013,ca,california,54.3,1956.0,1,,,6
3179,2013,ca,california,11.6,1241.0,0,,,6
3180,2013,ca,california,23.7,1935.0,1,,,6
3181,2013,ca,california,26.7,2637.0,2,,,6
3182,2013,ca,california,30.0,4128.0,3,,,6
3208,2013,ca,california,39.1,2647.0,2,,,6
3209,2013,ca,california,39.4,4139.0,3,,,6
3231,2013,ca,california,26.6,1255.0,0,,,6
3232,2013,ca,california,36.0,1944.0,1,,,6
3238,2013,ca,california,18.2,1253.0,0,,,6
3239,2013,ca,california,36.2,2656.0,2,,,6
3240,2013,ca,california,39.8,4154.0,3,,,6
3259,2013,ca,california,34.0,1952.0,1,,,6
3269,2013,ca,california,34.5,1270.0,0,,,6
3270,2013,ca,california,24.4,1981.0,1,,,6
3271,2013,ca,california,18.1,2684.0,2,,,6
3272,2013,ca,california,13.3,4190.0,3,,,6
3291,2014,ca,california,34.2,902.0,0,,,6
3292,2014,ca,california,25.0,1484.0,1,,,6
3293,2014,ca,california,26.1,2104.0,2,,,6
3294,2014,ca,california,17.2,3509.0,3,,,6
3319,2014,ca,california,38.8,902.0,0,,,6
3320,2014,ca,california,38.2,1484.0,1,,,6
3321,2014,ca,california,32.3,2104.0,2,,,6
3322,2014,ca,california,33.5,3509.0,3,,,6
3347,2014,ca,california,33.2,931.0,0,,,6
3348,2014,ca,california,26.1,1382.0,1,,,6
3349,2014,ca,california,19.6,2032.0,2,,,6
3350,2014,ca,california,13.6,3379.0,3,,,6
3375,2011,co,colorado,25.7,744.0,0,,,8
3376,2011,co,colorado,23.5,3163.0,1,,,8
3377,2011,co,colorado,22.3,3468.0,2,,,8
3404,2011,co,colorado,37.6,744.0,0,,,8
3405,2011,co,colorado,37.1,3163.0,1,,,8
3406,2011,co,colorado,33.9,3468.0,2,,,8
3446,2011,co,colorado,37.5,3372.0,2,,,8
3453,2011,co,colorado,41.8,2989.0,1,,,8
3455,2011,co,colorado,47.8,705.0,0,,,8
3461,2011,co,colorado,30.8,654.0,0,,,8
3462,2011,co,colorado,25.7,2934.0,1,,,8
3463,2011,co,colorado,17.3,3355.0,2,,,8
3464,2011,co,colorado,12.5,5353.0,3,,,8
3490,2011,co,colorado,52.7,702.0,0,,,8
3491,2011,co,colorado,55.2,2971.0,1,,,8
3521,2011,co,colorado,17.3,681.0,0,,,8
3522,2011,co,colorado,22.6,2933.0,1,,,8
3523,2011,co,colorado,28.3,3310.0,2,,,8
3524,2011,co,colorado,32.9,5281.0,3,,,8
3549,2011,co,colorado,38.5,691.0,0,,,8
3550,2011,co,colorado,37.8,2947.0,1,,,8
3551,2011,co,colorado,40.0,3318.0,2,,,8
3552,2011,co,colorado,44.2,5288.0,3,,,8
3578,2011,co,colorado,37.6,3417.0,2,,,8
3598,2011,co,colorado,29.2,3061.0,1,,,8
3601,2011,co,colorado,25.0,719.0,0,,,8
3604,2011,co,colorado,27.7,744.0,0,,,8
3605,2011,co,colorado,22.6,3106.0,1,,,8
3606,2011,co,colorado,15.8,3453.0,2,,,8
3632,2012,co,colorado,25.6,703.0,0,,,8
3633,2012,co,colorado,23.1,2799.0,1,,,8
3634,2012,co,colorado,21.9,3295.0,2,,,8
3635,2012,co,colorado,15.7,4832.0,3,,,8
3659,2012,co,colorado,36.4,703.0,0,,,8
3660,2012,co,colorado,34.2,2799.0,1,,,8
3661,2012,co,colorado,35.0,3295.0,2,,,8
3662,2012,co,colorado,35.9,4832.0,3,,,8
3685,2012,co,colorado,40.7,762.0,0,,,8
3686,2012,co,colorado,22.8,2932.0,1,,,8
3687,2012,co,colorado,15.2,3469.0,2,,,8
3688,2012,co,colorado,6.6,5028.0,3,,,8
3713,2013,co,colorado,28.8,698.0,0,,,8
3714,2013,co,colorado,21.7,3023.0,1,,,8
3715,2013,co,colorado,24.1,3546.0,2,,,8
3740,2013,co,colorado,34.5,698.0,0,,,8
3741,2013,co,colorado,36.0,3023.0,1,,,8
3742,2013,co,colorado,33.5,3546.0,2,,,8
3767,2013,co,colorado,43.1,665.0,0,,,8
3768,2013,co,colorado,42.1,2771.0,1,,,8
3769,2013,co,colorado,35.8,3333.0,2,,,8
3770,2013,co,colorado,28.9,5381.0,3,,,8
3794,2013,co,colorado,18.6,3298.0,2,,,8
3795,2013,co,colorado,11.8,5318.0,3,,,8
3801,2013,co,colorado,25.6,2707.0,1,,,8
3808,2013,co,colorado,29.7,640.0,0,,,8
3828,2013,co,colorado,45.0,664.0,0,,,8
3829,2013,co,colorado,52.5,2749.0,1,,,8
3831,2013,co,colorado,44.5,5395.0,3,,,8
3855,2013,co,colorado,15.6,658.0,0,,,8
3856,2013,co,colorado,19.6,2724.0,1,,,8
3857,2013,co,colorado,26.9,3258.0,2,,,8
3858,2013,co,colorado,34.8,5294.0,3,,,8
3894,2013,co,colorado,27.8,660.0,0,,,8
3895,2013,co,colorado,34.5,2734.0,1,,,8
3896,2013,co,colorado,39.2,3262.0,2,,,8
3897,2013,co,colorado,43.8,5298.0,3,,,8
